Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
165,0,0.086115,0.010320,-2.847076,-106.373756,-88.482231,1368.783447,0.028691,0.012183,0.291755,-105.728653,-86.933907,1368.411377
166,0,0.079300,0.016924,-2.845849,-106.661064,-88.610794,1368.755615,0.028258,0.012580,0.292525,-106.074753,-87.057800,1368.248047
167,0,0.066207,0.021038,-2.848637,-106.926399,-88.612206,1368.780396,0.026042,0.011427,0.293293,-106.349442,-87.279549,1368.136841
168,0,0.069758,0.011742,-2.849513,-107.116951,-88.826447,1368.407593,0.025518,0.011077,0.293683,-106.658531,-87.476242,1367.990723
169,0,0.070176,0.007975,-2.849619,-107.436699,-89.072342,1368.249756,0.026265,0.011077,0.294316,-106.969559,-87.655365,1367.763916
170,0,0.069810,0.005959,-2.848510,-107.726547,-89.387566,1368.135498,0.025333,0.010840,0.294665,-107.217812,-87.934456,1367.630981
171,0,0.060672,0.000607,-2.849093,-107.983376,-89.668694,1367.927124,0.024439,0.010300,0.295118,-107.471977,-88.258492,1367.516846
172,0,0.067171,-0.002648,-2.849935,-108.215958,-90.104958,1367.888306,0.022192,0.009459,0.295108,-107.683105,-88.666725,1367.476074
173,0,0.078032,-0.014413,-2.849133,-108.425804,-90.450775,1368.050293,0.021176,0.009094,0.295278,-107.889984,-89.131912,1367.423828
174,0,0.094991,-0.009171,-2.847452,-108.563751,-90.978813,1367.947632,0.020149,0.008226,0.295020,-108.103081,-89.661674,1367.386230
175,0,0.011456,-0.000947,0.292052,-108.687500,-91.482567,1367.935791,0.019566,0.006498,0.295557,-108.297951,-90.193550,1367.445557
176,0,0.005649,0.003320,0.289042,-108.766701,-92.204796,1368.148560,0.019025,0.004928,0.295255,-108.426849,-90.841858,1367.543823
177,0,0.005455,0.002293,0.287279,-108.937553,-92.963379,1368.252075,0.017308,0.003404,0.294561,-108.590118,-91.507347,1367.676392
178,0,0.005192,-0.001338,0.287767,-109.053108,-93.789955,1368.315186,0.017516,0.004586,0.292985,-108.577637,-92.359238,1367.739380
179,0,0.012861,0.001404,0.291339,-109.141411,-94.829216,1368.334717,0.017383,0.002945,0.293978,-108.528175,-93.329208,1367.869141
180,0,0.004367,-0.004766,0.294314,-109.024323,-95.862701,1368.642334,0.017286,0.001296,0.293499,-108.498314,-94.293571,1368.096069
181,0,0.005235,-0.008249,0.291301,-108.913834,-96.642654,1368.880859,0.017480,0.000058,0.293144,-108.447182,-95.343636,1368.329224
182,0,0.004212,-0.008378,0.286495,-108.699211,-97.727264,1369.256592,0.017472,0.000312,0.292147,-108.426781,-96.434914,1368.648071
183,0,0.010084,-0.003107,0.282615,-108.749863,-98.889404,1369.765869,0.018591,-0.000482,0.292725,-108.286903,-97.527199,1368.948242
184,0,0.007522,-0.007641,0.290366,-108.525070,-100.226608,1369.870605,0.019315,-0.001789,0.293550,-108.024765,-98.868240,1369.276245
